,TeamName,Year,Wins,Losses,OTLosses,Win%,GoalsFor(GF),GoalsAgainst(GA),+/-
337,NewYorkRangers,1990,36,31,,0.45,297,265,32
338,PhiladelphiaFlyers,1990,33,37,,0.412,252,267,-15
339,PittsburghPenguins,1990,41,33,,0.512,342,305,37
340,QuebecNordiques,1990,16,50,,0.2,236,354,-118
341,St.LouisBlues,1990,47,22,,0.588,310,250,60
342,TorontoMapleLeafs,1990,23,46,,0.287,241,318,-77
343,VancouverCanucks,1990,28,43,,0.35,243,315,-72
344,WashingtonCapitals,1990,37,36,,0.463,258,258,0
345,WinnipegJets,1990,26,43,,0.325,260,288,-28
346,BostonBruins,1991,36,32,,0.45,270,275,-5
347,BuffaloSabres,1991,31,37,,0.388,289,299,-10
348,CalgaryFlames,1991,31,37,,0.388,296,305,-9
349,ChicagoBlackhawks,1991,36,29,,0.45,257,236,21
350,BostonBruins,1990,44,24,,0.55,299,264,35
351,BuffaloSabres,1990,31,30,,0.388,292,278,14
352,CalgaryFlames,1990,46,26,,0.575,344,263,81
353,ChicagoBlackhawks,1990,49,23,,0.613,284,211,73
354,DetroitRedWings,1990,34,38,,0.425,273,298,-25
355,EdmontonOilers,1990,37,37,,0.463,272,272,0
356,HartfordWhalers,1990,31,38,,0.388,238,276,-38
357,LosAngelesKings,1990,46,24,,0.575,340,254,86
358,MinnesotaNorthStars,1990,27,39,,0.338,256,266,-10
359,MontrealCanadiens,1990,39,30,,0.487,273,249,24
360,NewJerseyDevils,1990,32,33,,0.4,272,264,8
361,NewYorkIslanders,1990,25,45,,0.312,223,290,-67
362,NewYorkRangers,1990,36,31,,0.45,297,265,32
363,PhiladelphiaFlyers,1990,33,37,,0.412,252,267,-15
364,PittsburghPenguins,1990,41,33,,0.512,342,305,37
365,QuebecNordiques,1990,16,50,,0.2,236,354,-118
366,St.LouisBlues,1990,47,22,,0.588,310,250,60
367,TorontoMapleLeafs,1990,23,46,,0.287,241,318,-77
368,VancouverCanucks,1990,28,43,,0.35,243,315,-72
369,WashingtonCapitals,1990,37,36,,0.463,258,258,0
370,WinnipegJets,1990,26,43,,0.325,260,288,-28
371,BostonBruins,1991,36,32,,0.45,270,275,-5
372,BuffaloSabres,1991,31,37,,0.388,289,299,-10
373,CalgaryFlames,1991,31,37,,0.388,296,305,-9
374,ChicagoBlackhawks,1991,36,29,,0.45,257,236,21
375,BostonBruins,1990,44,24,,0.55,299,264,35
376,BuffaloSabres,1990,31,30,,0.388,292,278,14
377,CalgaryFlames,1990,46,26,,0.575,344,263,81
378,ChicagoBlackhawks,1990,49,23,,0.613,284,211,73
379,DetroitRedWings,1990,34,38,,0.425,273,298,-25
380,EdmontonOilers,1990,37,37,,0.463,272,272,0
381,HartfordWhalers,1990,31,38,,0.388,238,276,-38
382,LosAngelesKings,1990,46,24,,0.575,340,254,86
383,MinnesotaNorthStars,1990,27,39,,0.338,256,266,-10
384,MontrealCanadiens,1990,39,30,,0.487,273,249,24
385,NewJerseyDevils,1990,32,33,,0.4,272,264,8
386,NewYorkIslanders,1990,25,45,,0.312,223,290,-67
387,NewYorkRangers,1990,36,31,,0.45,297,265,32
388,PhiladelphiaFlyers,1990,33,37,,0.412,252,267,-15
389,PittsburghPenguins,1990,41,33,,0.512,342,305,37
390,QuebecNordiques,1990,16,50,,0.2,236,354,-118
391,St.LouisBlues,1990,47,22,,0.588,310,250,60
392,TorontoMapleLeafs,1990,23,46,,0.287,241,318,-77
393,VancouverCanucks,1990,28,43,,0.35,243,315,-72
394,WashingtonCapitals,1990,37,36,,0.463,258,258,0
395,WinnipegJets,1990,26,43,,0.325,260,288,-28
396,BostonBruins,1991,36,32,,0.45,270,275,-5
397,BuffaloSabres,1991,31,37,,0.388,289,299,-10
398,CalgaryFlames,1991,31,37,,0.388,296,305,-9
399,ChicagoBlackhawks,1991,36,29,,0.45,257,236,21
400,BostonBruins,1990,44,24,,0.55,299,264,35
401,BuffaloSabres,1990,31,30,,0.388,292,278,14
402,CalgaryFlames,1990,46,26,,0.575,344,263,81
403,ChicagoBlackhawks,1990,49,23,,0.613,284,211,73
404,DetroitRedWings,1990,34,38,,0.425,273,298,-25
405,EdmontonOilers,1990,37,37,,0.463,272,272,0
406,HartfordWhalers,1990,31,38,,0.388,238,276,-38
407,LosAngelesKings,1990,46,24,,0.575,340,254,86
408,MinnesotaNorthStars,1990,27,39,,0.338,256,266,-10
409,MontrealCanadiens,1990,39,30,,0.487,273,249,24
410,NewJerseyDevils,1990,32,33,,0.4,272,264,8
411,NewYorkIslanders,1990,25,45,,0.312,223,290,-67
412,NewYorkRangers,1990,36,31,,0.45,297,265,32
413,PhiladelphiaFlyers,1990,33,37,,0.412,252,267,-15
414,PittsburghPenguins,1990,41,33,,0.512,342,305,37
415,QuebecNordiques,1990,16,50,,0.2,236,354,-118
416,St.LouisBlues,1990,47,22,,0.588,310,250,60
417,TorontoMapleLeafs,1990,23,46,,0.287,241,318,-77
418,VancouverCanucks,1990,28,43,,0.35,243,315,-72
419,WashingtonCapitals,1990,37,36,,0.463,258,258,0
420,WinnipegJets,1990,26,43,,0.325,260,288,-28
421,BostonBruins,1991,36,32,,0.45,270,275,-5
422,BuffaloSabres,1991,31,37,,0.388,289,299,-10
423,CalgaryFlames,1991,31,37,,0.388,296,305,-9
424,ChicagoBlackhawks,1991,36,29,,0.45,257,236,21
425,BostonBruins,1990,44,24,,0.55,299,264,35
426,BuffaloSabres,1990,31,30,,0.388,292,278,14
427,CalgaryFlames,1990,46,26,,0.575,344,263,81
428,ChicagoBlackhawks,1990,49,23,,0.613,284,211,73
429,DetroitRedWings,1990,34,38,,0.425,273,298,-25
